tracked_root,model,region,artifact,section,page_key,file_count,change_types,insertions,deletions,fields_changed,relative_paths,from_ref,to_ref
docs/_review/JE-1000F/JP,JE-1000F,JP,review,,manifest,1,M,8,2,0,manifest.json,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,03_product_overview_ja,1,M,12,13,5,generated/JE-1000F/draft/03_product_overview_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,05_operation_guide_ja,1,M,18,15,7,generated/JE-1000F/draft/05_operation_guide_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,12_app_setup_ja,1,M,24,18,2,generated/JE-1000F/draft/12_app_setup_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,generated,spec_ja,1,M,2,2,0,generated/JE-1000F/spec_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,01_meaning_of_symbols,1,M,28,89,47,page/01_meaning_of_symbols.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,03_product_overview_placeholder,1,M,1,1,1,page/03_product_overview_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,04_lcd_display_placeholder,1,M,9,15,4,page/04_lcd_display_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,05_operation_guide_placeholder,1,M,31,49,10,page/05_operation_guide_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,07_expansion_battery_pack,1,M,17,29,3,page/07_expansion_battery_pack.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,08_charging_methods,1,M,28,42,2,page/08_charging_methods.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,10_troubleshooting,1,M,2,2,1,page/10_troubleshooting.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,11_warranty,1,M,3,9,0,page/11_warranty.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,12_app_setup_placeholder,1,M,14,12,1,page/12_app_setup_placeholder.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,safety_ja,1,M,103,3,0,page/safety_ja.rst,HEAD~1,HEAD
docs/_review/JE-1000F/JP,JE-1000F,JP,review,page,spec_ja,1,M,207,90,17,page/spec_ja.rst,HEAD~1,HEAD
